approach,approach_subtype,approach_condition,approach_cond1,approach_cond2,approach_cond3,approach_cond4,approach_cond5,approach_cond6,approach_cond6_alternative,approach_cond_cams,approach_cond_survey_duration,approach_subtype_cond,notes,,,,,,,,,,,,,,,,,
mod_cr_cmr,NA,"objective %in% c(""obj_abundance"",""obj_density"",""obj_pop_size"",""obj_vital_rate"",""obj_unknown"")  &  marking_code==""Marked""  &  3ormore_cat_ids==""FALSE""  &  ia.na(auxillary_info)  &  num_cams_avail>20","objective %in% c(""obj_abundance"",""obj_density"",""obj_pop_size"",""obj_vital_rate"",""obj_unknown"")","marking_code==""Marked""","3ormore_cat_ids==""FALSE""",ia.na(auxillary_info),NA,NA,NA,num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_roylenichols,NA,"objective %in% c(""obj_abundance"",""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""none""  &  cam_high_dens==""FALSE""  &  sp_common_pop_lg==""FALSE""  &  lowdens_mvmtmed==""TRUE"" & multi_det_spatial==""FALSE""","objective %in% c(""obj_abundance"",""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""none""","cam_high_dens==""FALSE""","sp_common_pop_lg==""FALSE""","lowdens_mvmtmed==""TRUE"" & multi_det_spatial==""FALSE""",unkn,unkn,NA,,,,,,,,,,,,,,,,,,
mod_behaviour,NA,"objective %in% c(""obj_behaviour"",""obj_unknown"")  &  num_cams_avail>0","objective %in% c(""obj_behaviour"",""obj_unknown"")",NA,NA,NA,NA,NA,NA,num_cams_avail>0,NA,NA,,,,,,,,,,,,,,,,,,
mod_scr_secr,NA,"objective %in% c(""obj_density"",""obj_pop_size"",""obj_unknown"")  &  marking_code==""Marked"" & marking_allsub==""All""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20  &  surv_dur_mth_min>=90","objective %in% c(""obj_density"",""obj_pop_size"",""obj_unknown"")","marking_code==""Marked"" & marking_allsub==""All""",NA,NA,NA,NA,"multi_det_spatial==""FALSE""",num_cams_avail>20,surv_dur_mth_min>=90,NA,,,,,,,,,,,,,,,,,,
mod_2flankspim,NA,"objective %in% c(""obj_density"",""obj_pop_size"",""obj_unknown"")  &  marking_code==""Partially marked""  &  3ormore_cat_ids==""TRUE""  &  ia.na(auxillary_info)  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20  &  surv_dur_mth_min>=90","objective %in% c(""obj_density"",""obj_pop_size"",""obj_unknown"")","marking_code==""Partially marked""","3ormore_cat_ids==""TRUE""",ia.na(auxillary_info),NA,NA,"multi_det_spatial==""FALSE""",num_cams_avail>20,surv_dur_mth_min>=90,NA,,,,,,,,,,,,,,,,,,
mod_catspim,NA,"objective %in% c(""obj_density"",""obj_pop_size"",""obj_unknown"")  &  marking_code==""Partially marked""  &  3ormore_cat_ids==""TRUE""  &  ia.na(auxillary_info)  &  multi_det_spatial==""FALSE""  &  num_cams_avail>30  &  surv_dur_mth_min>=90","objective %in% c(""obj_density"",""obj_pop_size"",""obj_unknown"")","marking_code==""Partially marked""","3ormore_cat_ids==""TRUE""",ia.na(auxillary_info),NA,NA,"multi_det_spatial==""FALSE""",num_cams_avail>30,surv_dur_mth_min>=90,NA,,,,,,,,,,,,,,,,,,
mod_smr,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Marked""& marking_allsub==""Subset""  &  multi_det_spatial==""TRUE""  &  num_cams_avail>30  &  surv_dur_mth_min>=90","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Marked""& marking_allsub==""Subset""",NA,NA,NA,NA,"multi_det_spatial==""TRUE""",num_cams_avail>30,surv_dur_mth_min>=90,NA,,,,,,,,,,,,,,,,,,
mod_mr,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Partially marked""  &  3ormore_cat_ids==""FALSE""  &  ia.na(auxillary_info)","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Partially marked""","3ormore_cat_ids==""FALSE""",ia.na(auxillary_info),NA,NA,NA,unkn,unkn,NA,,,,,,,,,,,,,,,,,,
mod_ds,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""dist_cam""  &  multi_det_spatial==""FALSE""","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""dist_cam""",NA,NA,"multi_det_spatial==""FALSE""",NA,NA,NA,,,,,,,,,,,,,,,,,,
mod_tte,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""mvmt_speed  &  aux_count_possible==""FALSE""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""mvmt_speed","aux_count_possible==""FALSE""",NA,"multi_det_spatial==""FALSE""",num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_rem,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""mvmt_speed""  &  aux_count_possible==""TRUE""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""mvmt_speed""","aux_count_possible==""TRUE""",NA,"multi_det_spatial==""FALSE""",num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_sc,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""none""  &  cam_high_dens==""TRUE""  &  lowdens_mvmtmed==""TRUE"" & multi_det_spatial==""FALSE""  &  num_cams_avail>30  &  surv_dur_mth_min>=90","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""none""","cam_high_dens==""TRUE""",NA,"lowdens_mvmtmed==""TRUE"" & multi_det_spatial==""FALSE""",num_cams_avail>30,surv_dur_mth_min>=90,NA,,,,,,,,,,,,,,,,,,
mod_nmixture,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""none""  &  cam_high_dens==""FALSE""  &  sp_common_pop_lg==""TRUE""  &  multi_det_spatial==""FALSE""","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""none""","cam_high_dens==""FALSE""","sp_common_pop_lg==""TRUE""","multi_det_spatial==""FALSE""",unkn,NA,,,,,,,,,,,,,,,,,,,
mod_tifc,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""timeinfront""  &  focalarea_calc==""Binned""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""timeinfront""",NA,"focalarea_calc==""Binned""","multi_det_spatial==""FALSE""",num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_rest,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""timeinfront""  &  focalarea_calc==""Measured""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""timeinfront""",NA,"focalarea_calc==""Measured""","multi_det_spatial==""FALSE""",num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_ste,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""timelapse""  &  aux_count_possible==""FALSE""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""timelapse""","aux_count_possible==""FALSE""",NA,"multi_det_spatial==""FALSE""",num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_is,NA,"objective %in% c(""obj_density"",""obj_unknown"")  &  marking_code==""Unmarked""  &  3ormore_cat_ids==""FALSE""  &  auxillary_info==""timelapse""  &  aux_count_possible==""TRUE""  &  multi_det_spatial==""FALSE""  &  num_cams_avail>20","objective %in% c(""obj_density"",""obj_unknown"")","marking_code==""Unmarked""","3ormore_cat_ids==""FALSE""","auxillary_info==""timelapse""","aux_count_possible==""TRUE""",NA,"multi_det_spatial==""FALSE""",num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
mod_divers_rich,NA,"objective %in% c(""obj_divers_rich"",""obj_unknown"")  &  num_cams_avail>20","objective %in% c(""obj_divers_rich"",""obj_unknown"")",NA,NA,NA,NA,NA,NA,num_cams_avail>20,NA,NA,,,,,,,,,,,,,,,,,,
