question_code,q_option_code,q_option_label
user_entry,study_design,Design a new remote camera project
user_entry,analysis,Analyze data that was already collected
objective,obj_inventory,Species inventory
objective,obj_divers_rich,Species diversity & richness
objective,obj_occupancy,Occupancy
objective,obj_rel_abund,Relative abundance
objective,obj_abundance,Absolute abundance
objective,obj_pop_size,Population size
objective,obj_density,Density
objective,obj_vital_rate,Vital rates
objective,obj_behaviour,Behaviour
objective,obj_unknown,Unknown
num_cams_limited,TRUE,YES
num_cams_limited,FALSE,NO
study_area_mult,TRUE,YES
study_area_mult,FALSE,NO
cam_dens_gradient,TRUE,YES
cam_dens_gradient,FALSE,NO
cam_strat_covar,TRUE,YES
cam_strat_covar,FALSE,NO
cam_high_dens,TRUE,YES
cam_high_dens,FALSE,NO
surv_dur_min_known,TRUE,YES
surv_dur_min_known,FALSE,NO
surv_dur_max_known,TRUE,YES
surv_dur_max_known,FALSE,NO
sp_asymptote,yes,YES
sp_asymptote,no,NO
sp_asymptote,unkn,I'm not sure
obj_targ_sp,single,Single
obj_targ_sp,multiple,Multiple
sp_info,poor,Poorly known
sp_info,well,Well known
sp_info,unkn,I'm not sure
sp_type,carnivore,Carnivore
sp_type,ungulate,Ungulate
sp_type,other,Other
sp_dens_low,yes,YES
sp_dens_low,no,NO
sp_dens_low,unkn,I'm not sure
sp_occ_restr,yes,YES
sp_occ_restr,no,NO
sp_occ_restr,unkn,I'm not sure
data_hr,integer,YES
data_hr,NA,NO
sp_size,sm,Small
sp_size,med,Medium
sp_size,lg,Large
sp_size,multiple,Multiple
sp_rarity,common,Common
sp_rarity,less common,Less common
sp_rarity,rare,Rare
sp_rarity,very-rare,Very rare
sp_rarity,unkn,Unknown
sp_rarity,multiple,Multiple
sp_detprob_cat,low,Low
sp_detprob_cat,med,Medium
sp_detprob_cat,high,High
sp_detprob_cat,unkn,Unknown
sp_detprob_cat,multiple,Multiple
sp_behav,exploratory,Exploratory
sp_behav,neutral,Neutral
sp_behav,avoidant,Avoidant
sp_behav,unkn,I'm not sure
sp_behav,variable,Variable
sp_behav_season,yes,YES
sp_behav_season,no,NO
sp_behav_season,unkn,I'm not sure
marking_code,Marked,Marked
marking_code,Partially marked,Partially marked
marking_code,Unmarked,Unmarked
marking_allsub,All,All
marking_allsub,Subset,Subset
3ormore_cat_ids,TRUE,YES
3ormore_cat_ids,FALSE,NO
auxillary_info,cannot_collect,Cannot be collected
auxillary_info,dist_to_cam,Distance from animals to the camera
auxillary_info,mvmt_speed,Animal movement speed
auxillary_info,timelapse,Collecting time-lapse images
auxillary_info,timeinfront,Measuring time individuals spend in front of the camera
auxillary_info,none,None of these options
aux_count_possible,TRUE,YES
aux_count_possible,FALSE,NO
focalarea_calc,Measured,Measured
focalarea_calc,Binned,Binned
cam_high_dens,TRUE,YES
cam_high_dens,FALSE,NO
sp_common_pop_lg,TRUE,YES
sp_common_pop_lg,FALSE,NO
sp_size,sm,Small
sp_size,med,Medium
sp_size,lg,Large
sp_size,multiple,Multiple
sp_behav,exploratory,Same behaviour - Exploratory
sp_behav,neutral,Same behaviour - Neutral
sp_behav,avoidant,Same behaviour - Avoidant
sp_behav,unkn,I'm not sure
sp_behav,variable,Variable
sp_rarity,common,Common
sp_rarity,less common,Less common
sp_rarity,rare,Rare
sp_rarity,very-rare,Very rare
sp_rarity,unkn,Unknown
sp_rarity,multiple,Multiple
sp_rarity_rarest,common,Common
sp_rarity_rarest,less common,Less common
sp_rarity_rarest,rare,Rare
sp_rarity_rarest,very-rare,Very rare
sp_rarity_rarest,unkn,Unknown
sp_rarity_rarest,multiple,Multiple
sp_rarity_leastrare,common,Common
sp_rarity_leastrare,less common,Less common
sp_rarity_leastrare,rare,Rare
sp_rarity_leastrare,very-rare,Very rare
sp_rarity_leastrare,unkn,Unknown
