q_num,tool_level,tool_sublevel
1,Entry point,-
2,Define objectives & resources,Objective/State variable
3a,Define objectives & resources,Resources
3b,Define objectives & resources,Resources
4,Project-level design,Study area extent and method of delineation
5,Project-level design,Camera arrangement
6a,Project-level design,Camera arrangement
6b,Project-level design,Camera arrangement
7,Project-level design,Camera arrangement
8a,Project-level design,Survey duration
8b,Project-level design,Survey duration
9a,Project-level design,Survey duration
9b,Project-level design,Survey duration
10,Project-level design,Survey duration
11,Project-level design,Survey duration
12,Project-level design,Survey timing
13,Target species,-
14,Target species,-
15,Target species,-
16,Target species,-
17,Target species,-
18a,Target species,-
18b,Target species,-
20,Target species,-
21,Target species,-
22,Target species,-
23,Target species,-
24,Target species,-
25,Target species,-
26,Target species,-
27,Target species,-
28,Target species,-
29,Target species,-
30,Target species,-
31,Target species,-
32,Target species,-
33,Target species,Multiple species
34,Target species,Multiple species
35,Target species,Multiple species
36,Target species,Multiple species
37,Target species,Multiple species
38,Target species,Multiple species
39,Target species,Multiple species
40,Target species,Multiple species
41,Deploy cameras & retrieve data,Camera hardware  & settings
42,Deploy cameras & retrieve data,Camera hardware  & settings
43,Deploy cameras & retrieve data,"Camera height, angle, and direction "
44,Deploy cameras & retrieve data,"Camera height, angle, and direction "
45,Deploy cameras & retrieve data,Attractants vs. no attractants
46,Deploy cameras & retrieve data,Attractants vs. no attractants
47,Deploy cameras & retrieve data,Target features 
48,Deploy cameras & retrieve data,Target features 
49,Data & analysis,Sample independence
50,Data & analysis,Sample independence
51,Data & analysis,Sample independence
52,Data & analysis,Detection data
53,Data & analysis,Detection data
54,Data & analysis,Detection data
55,Data & analysis,Detection data
56,Data & analysis,Detection data
57,Data & analysis,Detection data
58,Data & analysis,Detection data
59,Data & analysis,Detection data
60,Data & analysis,Detection data
