field_code,info_url,info_url_dev
cam_independent,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_47_cam_independent.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_47_cam_independent.html
cam_strat_covar,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_06_cam_strat_covar.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_06_cam_strat_covar.html
num_cams,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_03_num_cams.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_03_num_cams.html
objective,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_02_objective.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_02_objective.html
obj_targ_sp,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_12_obj_targ_sp.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_12_obj_targ_sp.html
sp_asymptote,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_10_sp_asymptote.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_10_sp_asymptote.html
sp_detprob_cat,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_20_sp_detprob_cat.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_20_sp_detprob_cat.html
sp_hr_size,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_17_sp_hr_size.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_17_sp_hr_size.html
sp_info,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_13_sp_info.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_13_sp_info.html
sp_occ_restr,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_16_sp_occ_restr.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_16_sp_occ_restr.html
sp_rarity,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_19_sp_rarity.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_19_sp_rarity.html
sp_size,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_18_sp_size.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_18_sp_size.html
sp_type,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_14_sp_type.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_14_sp_type.html
surv_dur_min_max,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library/02_dialog-boxes/01_08_surv_dur_min_max.html,https://ab-rcsc.github.io/rc-decision-support-tool_concept-library_dev/02_dialog-boxes/01_08_surv_dur_min_max.html
